Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
02 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-V51ZXW6-210202,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124692216697511,124692217097511,Delivered,PK-DEX,standard,Dropshipping,124692217097511,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-U2ECKE7-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124709448022461,124709449522461,Delivered,PK-DEX,standard,Dropshipping,124709449522461,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-L58N11U-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,24.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124709448022461,124709449522461,Delivered,PK-DEX,standard,Dropshipping,124709449522461,,
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-A4QZQE0-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124709448022461,124709449522461,Delivered,PK-DEX,standard,Dropshipping,124709449522461,,
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-U22BXB9-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-27.12,3.12,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124709448022461,124709449522461,Delivered,PK-DEX,standard,Dropshipping,124709449522461,,
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-YIMPBY4-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124709448022461,124709449522461,Delivered,PK-DEX,standard,Dropshipping,124709449522461,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-Q4V9HRA-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124709448022461,124709449522461,Delivered,PK-DEX,standard,Dropshipping,124709449522461,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-XLH0UKE-210202,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-10.06,1.16,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124491803272198,124491803672198,Delivered,PK-LCS,standard,Dropshipping,124491803672198,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-O45TTU9-210202,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,44.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124491803272198,124491803672198,Delivered,PK-LCS,standard,Dropshipping,124491803672198,,
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-Y3VKP2A-210202,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,69.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124491803272198,124491803672198,Delivered,PK-LCS,standard,Dropshipping,124491803672198,,
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-R27C7XJ-210202,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-49.72,5.72,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124491803272198,124491803672198,Delivered,PK-LCS,standard,Dropshipping,124491803672198,,
